track,artist,genre
Delilah (pull me out of this),Fred again..,stutter house
Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,
we can't be friends (wait for your love),Ariana Grande,pop
Cheerleader,Porter Robinson,edm
AM:PM,NOTD,
Perfect Night,LE SSERAFIM,k-pop
Revive (Acoustic Version),LIONE,future bass
Tummy Hurts,Reneé Rapp,
Juno,Sabrina Carpenter,
Apple featuring the japanese house,Charli xcx,hyperpop
Nothing Sweeter,Naomi Sharon,afro house
Moonlight,Club 97,
Cigarette Daydreams,Cage The Elephant,modern rock
XO,Beyoncé,
BIRDS OF A FEATHER,Billie Eilish,
super8,Tiger La Flor,
Rock Ur World,Knock2,bass house
Find Our Way (feat. klei),Midnight Kids,melodic bass
Don't Know Why,Norah Jones,
Soul Tied,Kyle Dion,alternative r&b
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,
Alive,Krewella,edm
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,
Agora Hills,Doja Cat,
Fade Into You,Mazzy Star,dream pop
Seven (feat. Latto),Jung Kook,k-pop
intro (end of the world),Ariana Grande,pop
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,rap
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,
i wish i hated you,Ariana Grande,pop
Drop It Down,Eli Brown,techno
Assume The Position,Bryson Tiller,r&b
next door (feat. ASTN),Amelia Moore,
luther (with sza),Kendrick Lamar,hip hop
"Coconut Mall (From ""Mario Kart Wii"")",Arcade Player,
Space Makes Me Sad,Fiji Blue,
places to be,Fred again..,stutter house
Still Waiting (feat. Trey Songz),Tory Lanez,
Snooze (Acoustic) (feat. Justin Bieber),SZA,r&b
Cupid - Twin Ver.,FIFTY FIFTY,k-pop
Drive,SZA,r&b
Baby Girl,Disco Lines,stutter house
Trouble,Rich,
Bed Chem,Sabrina Carpenter,
Tell Ur Girlfriend,Lay Bankz,jersey club
Date 2,RADWIMPS,anime
Waterfall,Disclosure,house
Super Shy,NewJeans,k-pop
Addicted,Zerb,afro house
LANSDOWNE,Liza,
Sugar Don't Be Sweet,Jaz Karis,
Supercut,Lorde,
Skyline,Khalid,
Dance The Night,Dua Lipa,pop
Not Like Us,Kendrick Lamar,hip hop
Hard Part's Over,Hoang,melodic bass
Love I,The Green,reggae
Strangers,Seven Lions,melodic bass
At Your Best (You Are Love),Aaliyah,r&b
Miss Independent,Ne-Yo,
Love Me Like That,Sam Kim,k-ballad
30 For 30 (with Kendrick Lamar),SZA,r&b
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,
Back To U,SLANDER,melodic bass
Stop Thinking (feat. Lights) - MitiS Remix,Seven Lions,melodic bass
Drifting Away,Audien,edm
Open Arms (feat. Travis Scott),SZA,r&b
eternal sunshine,Ariana Grande,pop
I Wish That You Would,The Strike,
7PM,Lilacs.,
Nobody Gets Me,SZA,r&b
"yes, and?",Ariana Grande,pop
imperfect for you,Ariana Grande,pop
Lost,RSCL,stutter house
OMG,NewJeans,k-pop
Where You Are,John Summit,house
Breakfast in Bed,Rayana Jay,alternative r&b
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,
My Love Mine All Mine,Mitski,
Espresso,Sabrina Carpenter,
My Own Advice,William Black,melodic bass
Wake Up,Kayzo,dubstep
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,
I Like Me Better,Lauv,
My Girl,Oskar Cyms,
Still Omw,Blxst,
Eternal Sunshine,Jhené Aiko,r&b
Can You Love Me Tonight?,KAIRO,
Taste,Sabrina Carpenter,
MILLION DOLLAR BABY,Tommy Richman,
dashstar* - VIP,Knock2,bass house
Take A Chance With Me,NIKI,
Peak,Emotional Oranges,indie r&b
Lost,T-Dre,g-funk
Chemical,Post Malone,
Always,Daniel Caesar,
family ties (with Kendrick Lamar),Baby Keem,
Too Cool To Die,Post Malone,
